distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,refill gas
12.10,4.4,33,22.5,5,,SP98,0,0,0,,
15.70,4.1,32,22.5,13,,SP98,0,0,0,,
16.20,4.4,26,22.5,11,,SP98,0,0,0,,
12.80,4.6,22,22.5,12,,SP98,0,0,0,,
19.00,4.4,58,22.5,17,sun,SP98,0,0,1,,
29.00,4,27,22.5,12,,SP98,0,0,0,,
12.10,5,32,22.5,9,,SP98,0,0,0,,
12.30,5.2,55,22.5,10,,SP98,0,0,0,,
24.80,4,56,22.5,11,,SP98,0,0,0,,
12.90,5.1,34,22.5,8,rain,SP98,0,1,0,,
11.80,4.5,39,22.5,3,,SP98,0,0,0,,
31.40,4.6,62,22.5,11,,SP98,0,0,0,,
19.00,5.1,53,22.5,4,rain,SP98,0,1,0,,
13.00,5.7,38,22.5,3,AC rain,SP98,1,1,0,,
11.80,4.8,42,22.5,2,,SP98,0,0,0,,
13.00,6.2,32,22.5,4,,SP98,0,0,0,,
11.80,5,43,22.5,1,,SP98,0,0,0,,
27.10,5,69,22.5,8,,SP98,0,0,0,,
5.20,4.6,38,22.5,8,,SP98,0,0,0,,
19.00,4.5,29,22.5,10,,E10,0,0,0,39,E10
12.40,4.8,38,22.5,1,,E10,0,0,0,,
25.20,5,55,22.5,9,,E10,0,0,0,,
14.30,4.8,36,22.5,10,,E10,0,0,0,,
11.80,4.6,40,22.5,2,,E10,0,0,0,,
16.90,4.5,48,22.5,9,sun,E10,0,0,1,,
12.40,4.6,55,22.5,11,sun,E10,0,0,1,,
17.40,4.4,36,22.5,12,sun,E10,0,0,1,,
9.20,5.7,33,22.5,8,rain,E10,0,1,0,,
12.30,5.8,54,22.5,10,rain,E10,0,1,0,,
13.00,5.9,32,22.5,10,,E10,0,0,0,,
11.80,6.1,16,22.5,6,rain,E10,0,1,0,,
13.00,5.7,37,22.5,11,rain,E10,0,1,0,,
12.30,5,42,22.5,10,,E10,0,0,0,,
12.30,5.2,57,22.5,15,sun,E10,0,0,1,,
12.50,4.3,57,22.5,16,sun,E10,0,0,1,,
31.50,4.1,30,22.5,16,sun,E10,0,0,1,,
11.80,4.4,42,22.5,8,,E10,0,0,0,,
24.90,4.5,53,22.5,14,,E10,0,0,0,,
17.00,3.9,46,22.5,14,sun,E10,0,0,1,,
2.00,8.1,20,22.5,14,,E10,0,0,0,,
11.80,4.4,33,22.5,8,,E10,0,0,0,,
7.40,5,31,22.5,12,,E10,0,0,0,,
12.40,4.7,55,22.5,14,sun,E10,0,0,1,,
2.00,6,22,22.5,14,,E10,0,0,0,,
14.00,5,41,22.5,8,,E10,0,0,0,,
25.70,5,45,22.5,7,,E10,0,0,0,,
24.50,3.9,50,,15,sun,E10,0,0,1,,
11.80,4.5,28,22.5,12,,E10,0,0,0,,
4.10,5.4,24,22.5,13,,E10,0,0,0,,
4.20,5.6,29,22,17,,E10,0,0,0,,
4.20,3.9,29,22,18,sun,E10,0,0,1,,
16.00,4,40,22,10,,E10,0,0,0,,
22.90,4,29,,21,,E10,0,0,0,,
16.00,3.8,42,,8,,E10,0,0,0,,
15.40,4.5,50,22,14,,E10,0,0,0,,
16.00,3.8,41,22,12,,E10,0,0,0,,
4.20,5.6,32,22,18,,E10,0,0,0,,
101.90,5.2,75,22,18,,E10,0,0,0,,
93.90,4.8,88,23,18,AC sun,E10,1,0,1,,
25.70,4.9,50,22,10,rain,SP98,0,1,0,41,SP98
16.00,4.1,40,22,10,,SP98,0,0,0,,
16.10,4.5,32,22,19,,SP98,0,0,0,,
16.00,4.4,40,22,7,AC rain,SP98,1,1,0,,
16.00,4.5,41,22,11,,SP98,0,0,0,,
24.70,4.5,26,22,10,,SP98,0,0,0,,
16.00,3.9,42,22,8,,SP98,0,0,0,,
15.40,4.6,43,22,16,,SP98,0,0,0,,
